"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"11","CSCO",-0.021,0.35,0.38,-0.044,0.19,-0.0076,0.31,0.066,0.47,0.33,0.4,0.27,0.19,0.37,0.24,0.32,0.052,-0.028,0.39,0.093,0.3,0.0011,0.41,0.063,0.17,0.034,0.29,0.35,0.22,0.24,0.053,0.078,0.4,0.35,0.35,0.38,0.12,0.2,0.27,0.27,0.042,-0.0096,0.34,0.3,0.31,0.042,0.081,0.33,0.29,0.38,0.22,0.39,0.35,0.42,0.34,0.35,0.34,0.28,0.32,0.36,0.26,0.37,0.23,0.43,0.05,0.32,0.23,0.085,0.093,0.33,0.036,0.22,0.24,0.3,-0.33,-0.05,-0.2,-0.32,0.33,0.15,0.23,0.039,0.29,0.33,0.39,0.29,0.49,-0.0057,0.29,0.34,0.27,0.35
"12","FB",0.073,0.33,0.29,0.061,0.22,0.011,0.27,-0.0065,0.35,0.3,0.35,0.21,0.15,0.37,0.19,0.34,-0.021,-0.056,0.27,-0.021,0.29,-0.005,0.39,-0.0072,0.17,0.016,0.23,0.34,0.21,0.23,0.15,0.026,0.36,0.26,0.3,0.35,0.034,0.24,0.25,0.16,0.078,0.08,0.3,0.31,0.3,-0.013,0.18,0.35,0.19,0.31,0.074,0.36,0.32,0.36,0.31,0.3,0.29,0.28,0.28,0.32,0.2,0.34,0.21,0.39,0.02,0.41,0.2,0.099,0.11,0.21,-0.041,0.25,0.34,0.28,-0.2,0.025,-0.13,-0.21,0.29,0.23,0.19,0.086,0.25,0.28,0.33,0.23,0.38,0.014,0.25,0.26,0.26,0.26
"13","GOOGL",0.043,0.35,0.33,0.038,0.23,-0.0098,0.31,0.041,0.37,0.3,0.37,0.26,0.15,0.38,0.2,0.34,0.028,-0.036,0.3,0.0092,0.28,-0.015,0.41,0.03,0.12,0.025,0.21,0.36,0.25,0.22,0.12,0.056,0.35,0.28,0.32,0.4,0.054,0.32,0.3,0.17,0.096,0.0076,0.33,0.26,0.3,0.035,0.12,0.35,0.21,0.33,0.17,0.38,0.39,0.39,0.33,0.28,0.3,0.29,0.31,0.32,0.2,0.34,0.23,0.42,0.037,0.36,0.22,0.093,0.1,0.24,-9e-04,0.18,0.31,0.27,-0.28,-0.0073,-0.22,-0.26,0.31,0.29,0.19,0.026,0.26,0.28,0.37,0.23,0.42,0.012,0.27,0.26,0.25,0.29
"14","IBM",0.033,0.32,0.37,-0.014,0.26,-0.011,0.33,0.055,0.42,0.32,0.37,0.24,0.15,0.34,0.2,0.32,0.037,-0.087,0.28,0.0061,0.32,0.025,0.43,0.042,0.16,-0.073,0.21,0.29,0.19,0.17,0.048,0.051,0.36,0.3,0.3,0.35,0.021,0.26,0.22,0.24,0.042,0.026,0.3,0.25,0.33,0.054,0.095,0.3,0.29,0.32,0.21,0.35,0.34,0.36,0.28,0.3,0.33,0.22,0.33,0.38,0.19,0.32,0.23,0.41,0.052,0.31,0.18,0.071,0.091,0.26,0.022,0.21,0.31,0.3,-0.29,0.002,-0.23,-0.28,0.27,0.25,0.23,0.0096,0.3,0.33,0.37,0.28,0.43,0.021,0.28,0.27,0.22,0.3
"15","INTC",-0.058,0.35,0.33,-0.041,0.28,0.024,0.35,0.013,0.34,0.29,0.37,0.26,0.16,0.36,0.21,0.31,-0.0059,-0.04,0.37,0.05,0.35,-0.023,0.38,0.028,0.2,0.11,0.21,0.32,0.26,0.2,0.061,-0.023,0.33,0.31,0.32,0.38,0.077,0.26,0.21,0.23,0.0069,-0.014,0.31,0.28,0.32,0.04,0.097,0.32,0.28,0.33,0.2,0.38,0.37,0.37,0.34,0.33,0.31,0.27,0.24,0.33,0.28,0.35,0.22,0.4,0.03,0.32,0.27,0.042,0.071,0.24,0.015,0.21,0.3,0.29,-0.4,0.0042,-0.31,-0.38,0.3,0.23,0.22,-0.034,0.25,0.28,0.38,0.25,0.45,-0.12,0.22,0.3,0.21,0.27
"16","INTU",0.013,0.29,0.24,-0.017,0.16,-0.022,0.27,0.018,0.34,0.25,0.3,0.21,0.12,0.33,0.17,0.29,0.0095,-0.046,0.27,0.036,0.26,0.018,0.38,0.035,0.12,-0.019,0.13,0.28,0.2,0.18,0.059,0.014,0.31,0.27,0.28,0.33,-0.035,0.26,0.22,0.15,0.053,-0.00076,0.26,0.26,0.23,0.0087,0.081,0.27,0.17,0.32,0.13,0.33,0.31,0.28,0.28,0.21,0.24,0.26,0.24,0.27,0.16,0.28,0.22,0.38,0.054,0.26,0.24,0.04,0.073,0.19,-0.0023,0.18,0.26,0.24,-0.27,-0.0057,-0.21,-0.26,0.26,0.2,0.18,0.029,0.21,0.23,0.35,0.22,0.35,0.016,0.21,0.23,0.19,0.26
"17","MSFT",0.038,0.37,0.34,0.0042,0.26,0.018,0.34,-0.011,0.39,0.34,0.41,0.28,0.17,0.41,0.23,0.35,-0.025,-0.039,0.35,0.016,0.34,-0.013,0.43,-0.0028,0.18,0.056,0.23,0.38,0.27,0.27,0.057,0.045,0.41,0.34,0.34,0.42,0.014,0.31,0.28,0.17,0.059,0.027,0.33,0.34,0.3,0.0039,0.086,0.37,0.25,0.38,0.15,0.41,0.4,0.41,0.37,0.33,0.32,0.3,0.32,0.36,0.26,0.37,0.29,0.45,0.039,0.39,0.3,0.049,0.098,0.29,-0.044,0.19,0.32,0.29,-0.31,0.033,-0.21,-0.29,0.32,0.29,0.19,0.024,0.26,0.3,0.42,0.29,0.44,-0.035,0.28,0.32,0.25,0.32
"18","NFLX",-0.023,0.28,0.3,-0.04,0.19,0.054,0.24,-0.02,0.25,0.24,0.32,0.2,0.12,0.31,0.17,0.3,-0.024,-0.015,0.22,-0.041,0.3,-0.018,0.34,0.019,0.18,0.092,0.17,0.26,0.15,0.16,0.11,0.024,0.31,0.24,0.19,0.3,0.057,0.17,0.25,0.15,0.096,0.059,0.24,0.28,0.23,-0.056,0.081,0.28,0.14,0.23,0.1,0.23,0.3,0.29,0.3,0.29,0.19,0.2,0.29,0.25,0.16,0.26,0.24,0.32,0.017,0.32,0.18,0.0032,0.13,0.19,-0.018,0.096,0.22,0.23,-0.22,0.03,-0.16,-0.21,0.24,0.19,0.14,0.046,0.24,0.2,0.33,0.19,0.31,-0.034,0.18,0.24,0.2,0.22
"19","NOW",0.0089,0.29,0.24,-0.0011,0.2,0.015,0.25,-0.02,0.28,0.26,0.31,0.15,0.13,0.33,0.19,0.26,-0.022,-0.049,0.26,-0.0097,0.29,-0.0064,0.34,0.0044,0.078,0.019,0.14,0.3,0.18,0.21,0.049,-0.022,0.31,0.28,0.26,0.33,0.011,0.23,0.24,0.15,0.023,0.022,0.28,0.28,0.23,0.0087,0.076,0.27,0.17,0.33,0.12,0.28,0.31,0.3,0.3,0.27,0.24,0.25,0.22,0.3,0.16,0.29,0.22,0.33,0.026,0.33,0.23,0.031,0.076,0.22,-0.026,0.15,0.26,0.25,-0.32,0.019,-0.22,-0.29,0.23,0.21,0.16,0.1,0.22,0.22,0.34,0.25,0.32,0.00026,0.22,0.23,0.22,0.25
"20","NVDA",0.056,0.33,0.29,0.037,0.26,0.03,0.31,-0.053,0.38,0.3,0.36,0.23,0.15,0.38,0.21,0.32,-0.068,-0.028,0.29,0.025,0.33,-0.028,0.42,-0.047,0.12,-0.016,0.17,0.31,0.23,0.24,0.023,0.04,0.37,0.3,0.28,0.39,-0.021,0.31,0.28,0.18,0.023,0.035,0.31,0.28,0.29,-0.018,0.097,0.35,0.19,0.34,0.14,0.37,0.38,0.37,0.38,0.33,0.31,0.25,0.29,0.35,0.18,0.34,0.25,0.39,-0.033,0.35,0.27,0.033,0.015,0.25,-0.048,0.18,0.28,0.29,-0.22,0.035,-0.17,-0.21,0.31,0.27,0.22,0.039,0.3,0.24,0.36,0.26,0.43,-0.0051,0.25,0.31,0.22,0.29
