"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"11","^GSPC",0.01,0.38,0.38,-0.0018,0.28,-0.025,0.36,0.032,0.44,0.34,0.42,0.29,0.19,0.41,0.24,0.36,0.018,-0.053,0.36,0.028,0.36,0.026,0.45,0.031,0.16,-0.013,0.21,0.36,0.25,0.23,0.061,0.044,0.42,0.34,0.34,0.42,-0.011,0.28,0.26,0.23,0.051,0.017,0.35,0.3,0.33,0.038,0.11,0.37,0.28,0.38,0.19,0.43,0.4,0.41,0.38,0.32,0.35,0.29,0.34,0.38,0.24,0.37,0.25,0.45,0.041,0.37,0.27,0.087,0.083,0.29,0.011,0.21,0.32,0.33,-0.32,-0.014,-0.23,-0.3,0.33,0.27,0.24,0.009,0.28,0.31,0.41,0.29,0.46,0.021,0.28,0.31,0.26,0.35
"12","^GSPTSE",-0.006,0.41,0.37,-0.011,0.27,-0.024,0.35,0.043,0.44,0.36,0.44,0.29,0.21,0.45,0.27,0.41,0.036,-0.045,0.42,0.029,0.38,0.031,0.49,0.038,0.2,-0.09,0.19,0.4,0.26,0.25,0.043,0.024,0.46,0.36,0.37,0.44,-0.049,0.3,0.24,0.25,0.051,0.027,0.38,0.31,0.34,0.05,0.11,0.38,0.29,0.4,0.22,0.45,0.43,0.42,0.37,0.31,0.37,0.3,0.33,0.4,0.23,0.39,0.25,0.48,0.023,0.37,0.28,0.082,0.052,0.29,0.012,0.23,0.34,0.37,-0.3,-0.018,-0.21,-0.3,0.36,0.3,0.28,0.0056,0.28,0.33,0.42,0.29,0.46,0.022,0.26,0.34,0.27,0.33
"13","^IPSA",-0.01,0.062,0.0053,-0.059,0.0038,-0.066,0.036,0.068,0.11,0.03,0.062,0.014,0.045,0.098,0.015,0.086,0.091,-0.004,-0.035,-0.014,0.076,0.038,0.092,0.053,0.029,-0.31,-0.017,0.082,-0.091,0.1,0.047,-0.042,0.055,0.038,0.068,0.044,-0.034,0.064,-0.054,0.091,-0.026,-0.066,0.1,0.039,0.05,-0.0089,-0.014,0.061,0.027,0.046,0.049,0.078,0.085,0.019,-0.0077,0.0011,0.066,-0.035,-0.051,0.038,-0.029,0.018,-0.0021,0.12,-0.012,0.09,0.061,0.033,-0.035,0.049,0.027,0.064,0.12,0.048,-0.026,-0.096,-0.098,-0.069,0.048,0.073,0.03,-0.076,0.05,0.08,0.024,0.037,0.05,-0.038,0.046,0.062,0.058,0.072
"14","^IXIC",0.017,0.39,0.38,-0.01,0.27,-0.014,0.37,0.017,0.44,0.36,0.43,0.3,0.19,0.44,0.25,0.37,0.0067,-0.053,0.37,-0.00047,0.39,0.02,0.48,0.031,0.19,0.015,0.22,0.4,0.27,0.25,0.062,0.04,0.44,0.35,0.35,0.44,0.012,0.31,0.31,0.22,0.057,0.034,0.36,0.34,0.33,0.013,0.11,0.39,0.26,0.4,0.19,0.42,0.42,0.43,0.39,0.35,0.35,0.31,0.35,0.4,0.25,0.39,0.28,0.47,0.036,0.4,0.3,0.082,0.087,0.3,0.0079,0.21,0.35,0.32,-0.29,-0.0053,-0.22,-0.28,0.35,0.29,0.22,0.027,0.3,0.31,0.44,0.29,0.47,-0.0021,0.29,0.31,0.26,0.35
"15","^JKSE",-0.031,0.089,0.057,-0.061,0.054,-0.16,0.055,0.1,0.038,0.0087,0.056,0.071,0.016,0.039,0.017,0.065,0.11,-0.011,-0.0025,0.018,0.048,0.077,0.042,0.09,-0.068,-0.22,0.022,0.11,-0.03,0.12,0.014,0.035,-0.079,0.053,0.069,0.055,-0.00052,0.02,-0.069,0.072,0.018,0.0012,0.15,-0.016,0.051,0.03,0.075,0.072,0.028,0.061,0.0082,0.082,0.0075,-0.018,-0.02,0.014,0.06,-0.0019,-0.0055,0.064,0.036,0.067,0.052,0.071,0.028,0.11,-0.032,0.18,0.024,0.045,0.054,0.05,0.041,0.067,-0.056,-0.1,-0.078,-0.097,0.086,0.072,0.014,-0.016,0.049,0.096,0.051,0.08,0.063,0.058,0.042,0.046,0.064,0.05
"16","^JN0U",-0.018,0.25,0.19,-0.021,0.12,-0.024,0.23,0.082,0.32,0.21,0.3,0.19,0.13,0.29,0.14,0.21,0.067,-0.012,0.17,0.056,0.19,0.039,0.31,0.075,0.11,-0.18,0.12,0.27,0.13,0.19,0.038,0.035,0.24,0.2,0.22,0.26,-0.02,0.12,0.11,0.18,0.011,-0.03,0.25,0.24,0.23,0.08,0.032,0.25,0.14,0.25,0.13,0.28,0.26,0.21,0.17,0.19,0.27,0.16,0.18,0.23,0.11,0.22,0.071,0.31,0.05,0.23,0.14,0.096,0.034,0.14,0.054,0.16,0.24,0.18,-0.17,-0.07,-0.18,-0.19,0.23,0.18,0.14,-0.031,0.17,0.23,0.26,0.17,0.27,-0.014,0.22,0.19,0.17,0.26
"17","^KLSE",-0.045,0.002,0.021,-0.039,0.07,-0.027,0.086,0.076,0.024,-0.068,-0.04,-0.0057,-0.024,-0.012,-0.055,-0.0034,0.062,0.0073,-0.075,-0.019,0.041,0.0082,-0.0022,0.053,-0.0084,-0.28,0.001,0.04,-0.045,0.014,-0.097,0.0031,-0.0079,-0.035,-0.033,-0.03,0.021,0.16,-0.014,-0.007,0.094,-0.089,0.099,-0.044,0.06,-0.035,0.046,0.036,0.079,-0.053,0.027,0.016,0.0042,-0.061,-0.075,-0.045,0.011,0.027,0.0054,0.024,-0.082,0.0033,0.079,0.029,0.066,0.03,-0.022,0.1,0.078,0.12,0.023,0.059,0.0068,-0.088,0.15,-0.03,0.086,0.12,0.01,0.035,0.0089,-0.12,-0.033,-0.034,0.02,-0.052,-0.023,0.003,0.032,0.02,0.055,0.021
"18","^KS11",-0.041,-0.014,0.0047,-0.088,-0.0087,-0.073,0.019,0.074,0.027,-0.02,-0.047,-0.047,0.016,0.0033,-0.011,0.04,0.09,-0.026,-0.082,0.0053,-0.03,0.051,0.031,0.084,-0.02,-0.28,-0.036,0.017,-0.046,0.016,0.087,0.029,-0.058,0.0087,0.0054,-0.01,-0.081,0.021,-0.12,0.04,-0.012,-0.042,0.059,-0.0063,0.057,0.026,-0.012,-0.019,-0.021,0.0033,0.057,0.036,0.0035,-0.092,-0.11,-0.056,0.019,-0.072,-0.044,-0.00043,-0.078,-0.017,-0.11,0.034,-0.015,0.028,0.02,0.11,-0.044,-0.0033,0.053,0.015,0.019,0.016,0.01,-0.086,-0.032,-0.036,0.0058,0.011,-0.00052,-0.021,-0.031,0.024,-0.024,0.012,0.011,0.0099,0.02,0.022,0.036,-0.0026
"19","^MERV",0.014,0.18,0.19,0.053,0.11,-0.031,0.15,0.054,0.24,0.18,0.19,0.16,0.12,0.21,0.11,0.19,0.046,-0.044,0.088,0.053,0.14,-0.02,0.18,-0.00069,0.029,-0.13,0.028,0.21,0.0078,0.12,0.073,0.0044,0.2,0.16,0.15,0.17,-0.17,0.11,0.13,0.067,0.0028,-0.057,0.16,0.11,0.18,-0.015,0.069,0.2,0.15,0.18,0.12,0.2,0.2,0.18,0.085,0.14,0.18,0.16,0.12,0.15,0.067,0.18,0.058,0.19,-0.045,0.13,0.11,0.12,-0.014,0.14,0.0085,0.16,0.18,0.17,-0.11,-0.027,-0.096,-0.11,0.15,0.2,0.082,0.054,0.18,0.15,0.21,0.14,0.22,0.004,0.1,0.2,0.12,0.15
"20","^MXX",-0.026,0.24,0.21,0.014,0.11,-0.062,0.23,0.11,0.27,0.23,0.25,0.2,0.11,0.28,0.13,0.2,0.083,0.019,0.24,0.066,0.2,0.064,0.33,0.073,0.1,-0.079,0.082,0.22,0.14,0.13,0.024,-0.0047,0.18,0.21,0.18,0.26,-9.2e-05,0.11,0.17,0.17,-0.027,-0.012,0.21,0.11,0.2,0.072,0.0037,0.23,0.19,0.26,0.17,0.28,0.2,0.24,0.14,0.16,0.25,0.12,0.2,0.2,0.11,0.19,0.055,0.26,0.048,0.2,0.15,0.14,0.019,0.14,0.061,0.085,0.13,0.2,-0.26,-0.09,-0.19,-0.22,0.21,0.15,0.22,-0.11,0.16,0.17,0.25,0.16,0.28,0.071,0.19,0.17,0.12,0.21
