"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"11","CSCO",0.13,0.13,0.15,0.13,0.11,-0.027,0.14,0.025,0.073,0.15,0.17,0.036,0.15,0.16,0.15,0.073,0.14,-0.015,-0.012,0.042,0.026,0.16,0.15,0.16,0.14,0.036,0.013,0.13,0.15,0.17,0.0043,0.11,0.1,0.12,0.17,0.16,0.14,0.051,-0.0081,0.047,0.00027,0.18,0.14,-0.021,0.14,0.11,0.07,0.083,0.093,0.077,0.11,0.13,0.054,0.13,0.21,0.13,0.12,0.15,0.14,0.2,0.17,0.13,-0.067,0.076,0.23,0.12,0.13,-0.021,0.07,0.036,0.1,0.14,0.003,-0.043,0.16,0.095,0.0062,0.058,0.16,0.16,0.15,0.12,-0.077,0.092,-0.051,0.024,0.22,0.14,0.066,0.11,0.13,0.11,0.046,0.092,0.15,0.15,0.13,0.12,0.13,0.19
"12","FB",0.089,0.098,0.078,-0.0087,0.088,0.097,0.08,0.073,0.089,0.1,0.085,0.071,0.11,0.084,0.087,0.069,0.067,0.094,0.072,0.17,0.21,0.048,0.11,0.1,0.064,0.034,-0.028,0.073,0.091,0.083,-0.1,0.13,0.067,0.096,0.11,0.13,0.13,0.03,0.035,-0.083,0.0072,0.072,0.1,-0.039,0.074,0.045,0.066,0.12,0.077,0.099,0.08,0.063,0.12,0.084,0.094,0.11,0.13,0.084,0.079,0.058,0.12,0.13,-0.16,0.03,0.11,-0.032,0.13,0.016,0.057,0.0049,0.085,0.085,-0.022,0.0034,0.087,0.072,0.069,0.13,0.091,0.091,0.062,0.1,-0.17,0.1,-0.13,-0.045,0.1,0.11,-0.0082,0.083,0.057,0.0011,0.076,0.09,0.15,0.043,0.089,0.082,0.13,0.08
"13","GOOGL",0.13,0.19,0.14,0.067,0.1,0.062,0.14,0.11,0.022,0.14,0.19,0.13,0.19,0.14,0.21,0.15,0.077,-0.057,-0.017,0.13,0.13,0.078,0.11,0.14,0.091,0.07,-0.0043,0.14,0.18,0.16,0.014,0.22,0.06,0.19,0.13,0.18,0.24,0.039,-0.041,0.027,-0.015,0.1,0.22,-0.067,0.14,0.058,0.034,0.16,0.12,0.05,0.12,0.14,0.12,0.2,0.094,0.17,0.12,0.15,0.13,0.13,0.19,0.17,-0.069,0.068,0.15,0.041,0.19,-0.048,0.065,0.069,0.076,0.13,0.15,-0.013,0.11,0.13,0.076,0.19,0.1,0.16,0.12,0.12,-0.16,0.13,-0.13,-0.043,0.19,0.14,0.03,0.17,0.14,0.1,0.16,0.16,0.17,0.1,0.16,0.17,0.14,0.12
"14","IBM",0.018,0.013,0.0031,0.042,0.014,0.021,-0.049,-0.025,0.24,-0.06,0.031,0.014,-0.00083,0.013,0.017,0.051,0.065,0.07,-0.04,-0.11,0.097,0.047,-0.0078,0.038,0.026,-0.038,-0.036,0.0019,0.013,0.016,-0.022,0.0058,0.022,0.041,0.023,0.045,0.014,0.019,0.14,0.033,-0.021,-0.0072,0.066,0.013,-0.0087,0.095,0.088,0.054,-0.038,-0.038,0.023,-0.044,-0.03,0.014,0.11,0.065,0.021,0.0065,0.05,0.033,-0.033,0.0054,0.12,-0.0075,0.038,0.012,0.018,0.03,0.034,-0.00046,0.1,0.031,0.01,0.017,0.068,-0.056,-0.013,0.066,0.044,0.057,0.086,-0.047,-0.083,0.015,-0.017,-0.073,0.016,0.052,-0.0043,-0.052,0.032,0.065,-0.06,0.013,-0.012,0.044,-0.023,0.014,-0.013,0.0052
"15","INTC",0.12,0.11,0.086,0.0076,0.084,0.097,0.065,0.094,0.038,0.068,0.11,0.12,0.1,0.15,0.17,0.054,0.16,-0.0092,0.044,-0.076,0.18,0.02,0.082,0.15,0.016,0.14,-0.063,0.14,0.082,0.15,0.041,0.24,0.095,0.087,0.12,0.12,0.11,-0.044,0.086,-0.12,-0.029,0.11,0.14,-0.069,0.052,0.073,0.074,0.12,0.057,0.11,0.15,0.091,0.093,0.13,0.16,0.073,0.074,0.12,0.11,0.13,0.15,0.084,-0.24,0.046,0.14,0.092,0.092,-0.05,0.056,0.095,0.04,0.12,0.011,-0.014,0.15,0.076,0.1,0.14,0.096,0.059,0.014,0.12,-0.14,0.062,-0.069,-0.13,0.12,0.054,0.0026,0.08,0.094,0.12,0.077,0.098,0.093,0.091,0.16,0.099,0.11,0.075
"16","INTU",0.15,0.19,0.22,0.073,0.13,0.18,0.21,0.18,-0.0062,0.15,0.16,0.2,0.19,0.13,0.2,0.15,0.017,0.076,0.03,0.12,0.11,0.12,0.12,0.14,0.23,0.12,0.055,0.2,0.16,0.21,-0.04,0.24,0.11,0.17,0.13,0.14,0.23,0.14,-0.066,0.06,0.089,0.14,0.24,0.038,0.19,0.014,-0.0086,0.23,0.21,0.2,0.17,0.19,0.15,0.14,0.17,0.16,0.15,0.22,0.087,0.21,0.23,0.14,-0.065,0.15,0.21,0.031,0.13,0.077,0.032,0.11,0.023,0.18,0.0028,0.091,0.088,0.24,0.2,0.12,0.12,0.21,0.15,0.22,-0.099,0.12,-0.11,-0.03,0.22,0.19,0.093,0.2,0.14,0.088,0.17,0.16,0.2,0.077,0.26,0.21,0.26,0.18
"17","MSFT",0.13,0.16,0.15,0.097,0.11,0.065,0.14,0.11,0.016,0.2,0.19,0.16,0.18,0.18,0.22,0.17,0.064,0.042,-0.044,0.16,0.13,0.14,0.14,0.2,0.17,0.061,0.078,0.18,0.17,0.19,-0.066,0.22,0.16,0.19,0.17,0.2,0.2,0.12,-0.02,0.099,0.095,0.16,0.23,-0.023,0.17,0.005,-0.025,0.2,0.14,0.1,0.11,0.16,0.14,0.19,0.13,0.19,0.16,0.2,0.16,0.15,0.23,0.16,-0.03,0.1,0.21,0.036,0.18,0.068,0.0048,0.036,0.02,0.13,0.12,0.091,0.11,0.12,0.085,0.18,0.14,0.19,0.16,0.19,-0.16,0.14,-0.17,-0.037,0.25,0.19,0.021,0.17,0.13,0.074,0.16,0.16,0.19,0.12,0.22,0.23,0.21,0.15
"18","NFLX",0.034,0.12,0.11,0.013,0.13,0.086,0.083,0.15,-0.034,0.043,0.098,0.12,0.064,0.098,0.12,0.11,0.032,0.12,0.032,0.052,0.1,0.069,0.052,0.1,0.081,0.023,0.15,0.13,0.058,0.093,0.033,0.17,0.031,0.094,0.12,0.12,0.094,0.099,0.023,0.043,0.13,0.07,0.28,0.0053,0.033,-0.041,-0.05,0.16,0.092,0.11,0.094,0.1,0.094,0.092,0.091,0.13,0.027,0.14,0.032,0.036,0.16,0.12,-0.016,0.028,0.14,0.075,0.14,0.095,-0.015,0.069,-0.046,0.14,-0.029,0.11,0.044,0.16,0.16,0.062,0.036,0.12,0.098,0.1,-0.046,0.057,-0.069,-0.03,0.18,0.1,0.031,0.11,0.061,-0.012,0.14,0.098,0.079,0.051,0.1,0.15,0.18,0.12
"19","NOW",0.087,0.17,0.14,0.18,0.17,0.12,0.18,0.25,0.032,0.13,0.2,0.17,0.14,0.19,0.25,0.15,0.018,0.15,0.014,0.13,0.13,0.19,0.12,0.18,0.14,0.057,0.091,0.23,0.15,0.23,0.044,0.21,0.13,0.18,0.22,0.19,0.2,0.15,0.046,0.023,0.13,0.14,0.25,0.039,0.12,-0.057,-0.082,0.24,0.19,0.25,0.12,0.17,0.19,0.2,0.16,0.2,0.11,0.2,0.12,0.056,0.24,0.18,-0.039,0.078,0.2,0.06,0.18,0.13,-0.03,0.14,-0.025,0.2,-0.11,0.13,0.043,0.24,0.2,0.12,0.12,0.12,0.11,0.21,-0.081,0.16,-0.083,-0.028,0.21,0.1,0.1,0.2,0.15,0.064,0.18,0.13,0.18,0.094,0.22,0.21,0.24,0.2
"20","NVDA",0.16,0.19,0.19,0.076,0.21,0.11,0.19,0.24,-0.03,0.17,0.17,0.21,0.14,0.19,0.24,0.16,0.053,0.053,0.0099,0.14,0.2,0.21,0.19,0.2,0.21,0.15,0.063,0.25,0.16,0.23,0.035,0.24,0.13,0.21,0.18,0.2,0.2,0.17,-0.00054,0.057,0.078,0.19,0.19,-0.029,0.21,0.021,-0.011,0.22,0.13,0.18,0.14,0.13,0.19,0.17,0.18,0.21,0.17,0.26,0.19,0.17,0.28,0.17,-0.11,0.12,0.2,0.051,0.19,0.06,0.033,0.13,0.01,0.21,-0.012,0.1,0.15,0.21,0.15,0.11,0.15,0.2,0.2,0.28,-0.13,0.22,-0.17,-0.075,0.17,0.14,0.18,0.13,0.13,0.078,0.21,0.2,0.2,0.14,0.29,0.24,0.23,0.18
